N,K,n_rows,B,B_se,B_ci_low,B_ci_high,real_utility,real_utility_se,real_utility_ci_low,real_utility_ci_high,latency_adjusted_utility,latency_adjusted_utility_se,latency_adjusted_utility_ci_low,latency_adjusted_utility_ci_high,utility_per_diffusion_step,utility_per_diffusion_step_se,utility_per_diffusion_step_ci_low,utility_per_diffusion_step_ci_high
8,8,16,64.0,0.0,64.0,64.0,-0.5008517066742059,0.011153974343098276,-0.5227130946711623,-0.47899031867724945,-0.724851706674206,0.011153974343098273,-0.7467130946711624,-0.7029903186772495,-0.007825807916784467,0.00017428084911091056,-0.008167392104236912,-0.007484223729332023
8,16,16,128.0,0.0,128.0,128.0,-0.4412793793930755,0.020083816258137554,-0.4806429359311451,-0.4019158228550059,-0.8892793793930754,0.02008381625813755,-0.928642935931145,-0.8499158228550059,-0.0034474951515084023,0.00015690481451669964,-0.003755022936962071,-0.0031399673660547334
8,32,16,256.0,0.0,256.0,256.0,-0.4800824606028279,0.028126259840585956,-0.5352089169101917,-0.42495600429546415,-1.376082460602828,0.028126259840585952,-1.4312089169101916,-1.3209560042954642,-0.0018753221117297964,0.00010986820250228889,-0.0020906598316804362,-0.0016599843917791568
16,2,16,32.0,0.0,32.0,32.0,-0.5196590722233791,0.025634176591363935,-0.5699011351157922,-0.46941700933096614,-0.631659072223379,0.02563417659136393,-0.6819011351157921,-0.581417009330966,-0.0162393460069806,0.000801068018480123,-0.017809410472368507,-0.014669281541592692
16,4,16,64.0,0.0,64.0,64.0,-0.4540919561548129,0.01909661221298579,-0.4915206283189928,-0.416663283990633,-0.6780919561548129,0.019096612212985788,-0.7155206283189928,-0.640663283990633,-0.007095186814918952,0.000298384565827903,-0.007680009817484262,-0.006510363812353641
16,8,16,128.0,0.0,128.0,128.0,-0.41275388108969124,0.010819907465013124,-0.43396051003717306,-0.3915472521422094,-0.8607538810896912,0.01081990746501312,-0.881960510037173,-0.8395472521422094,-0.003224639696013213,8.453052707041503e-05,-0.0033903164846654146,-0.003058962907361011
16,16,16,256.0,0.0,256.0,256.0,-0.35919930042902826,0.019015733982938102,-0.3964694541751813,-0.3219291466828752,-1.2551993004290283,0.019015733982938102,-1.2924694541751813,-1.2179291466828752,-0.0014031222673008916,7.428021087085196e-05,-0.001548708805371802,-0.0012575357292299813
16,32,16,512.0,0.0,512.0,512.0,-0.4065356225198845,0.028955836296654863,-0.4632880188035657,-0.34978322623620334,-2.198535622519884,0.02895583629665487,-2.2552880188035656,-2.141783226236203,-0.0007940148877341494,5.655436776690403e-05,-0.0009048594117257142,-0.0006831703637425846
32,2,16,64.0,0.0,64.0,64.0,-0.3987246517437789,0.029660162349914334,-0.4568575017252219,-0.34059180176233594,-0.6227246517437788,0.02966016234991433,-0.6808575017252217,-0.5645918017623358,-0.0062300726834965455,0.00046344003671741147,-0.007138398464456592,-0.005321746902536499
32,4,16,128.0,0.0,128.0,128.0,-0.3605653379859279,0.022174472287020807,-0.4040265050446702,-0.31710417092718557,-0.8085653379859279,0.0221744722870208,-0.8520265050446701,-0.7651041709271856,-0.0028169167030150616,0.00017323806474235006,-0.003156457070661486,-0.0024773763353686373
32,8,16,256.0,0.0,256.0,256.0,-0.3451753592606669,0.011769076565719969,-0.3682423254607724,-0.3221083930605614,-1.241175359260667,0.01176907656571997,-1.2642423254607724,-1.2181083930605614,-0.00134834124711198,4.597295533484363e-05,-0.0014384465838311422,-0.001258235910392818
32,16,16,512.0,0.0,512.0,512.0,-0.29920999853335106,0.01804847708118518,-0.3345843635882706,-0.26383563347843153,-2.091209998533351,0.01804847708118517,-2.126584363588271,-2.0558356334784316,-0.0005843945283854513,3.5250931799189805e-05,-0.000653485085133341,-0.0005153039716375616
32,32,16,1024.0,0.0,1024.0,1024.0,-0.3505595731114403,0.02935999909185665,-0.40810411391760804,-0.2930150323052726,-3.9345595731114402,0.02935999909185663,-3.992104113917608,-3.8770150323052723,-0.00034234333311664093,2.8671874113141258e-05,-0.0003985391737476641,-0.00028614749248561777
